Index,Org,User,Timestamp,Protocol,TZ,Left force @ 0ms,Left force @ 50ms,Left force @ 100ms,Left force @ 150ms,Left force @ 200ms,Left force @ 250ms,Left force @ 300ms,Left peak force,Right force @ 0ms,Right force @ 50ms,Right force @ 100ms,Right force @ 150ms,Right force @ 200ms,Right force @ 250ms,Right force @ 300ms,Right peak force,Combined force @ 0ms,Combined force @ 50ms,Combined force @ 100ms,Combined force @ 150ms,Combined force @ 200ms,Combined force @ 250ms,Combined force @ 300ms,Combined peak force
0,Liverpool,AdriÃ¡n,06/09/2022 13:17,1,LHTZ,2,5.8,9.2,13.9,15.8,16.9,0,17.9,2,5.8,9.2,13.9,15.8,16.9,0,17.9,4,11.6,18.4,27.8,31.6,33.8,0,35.8
1,Liverpool,AdriÃ¡n,06/09/2022 13:17,1,LHTZ,2,5.4,9.8,14.7,17.1,18.5,0,19.9,2,5.4,9.8,14.7,17.1,18.5,0,19.9,4,10.8,19.6,29.4,34.2,37,0,39.8
2,Liverpool,AdriÃ¡n,06/09/2022 13:34,1,RHTZ,1.5,5,9.7,14.1,16.4,17.4,0,18.8,1.5,5,9.7,14.1,16.4,17.4,0,18.8,3,10,19.4,28.2,32.8,34.8,0,37.6
3,Liverpool,AdriÃ¡n,21/09/2022 07:58,,LHTZ,1.8,6.4,8.1,12.8,14.7,14,0,31.2,0,0,0,0,0,0,0,0,1.8,6.4,8.1,12.8,14.7,14,0,31.2
4,Liverpool,AdriÃ¡n,21/09/2022 08:02,,LHTZ,3.9,11.3,15.1,20.7,25.6,29.4,0,35,0,0,0,0,0,0,0,0,3.9,11.3,15.1,20.7,25.6,29.4,0,35
5,Liverpool,AdriÃ¡n,21/09/2022 08:04,,LHTZ,25.6,27.2,27.8,26.9,28.7,28.2,0,161.8,0,0,0,0,0,0,0,0,25.6,27.2,27.8,26.9,28.7,28.2,0,161.8
6,Liverpool,AdriÃ¡n,21/09/2022 08:04,,LHTZ,21.7,31.3,32.8,35.8,33.5,39.3,0,160,0,0,0,0,0,0,0,0,21.7,31.3,32.8,35.8,33.5,39.3,0,160
7,Liverpool,AdriÃ¡n,21/09/2022 08:28,,LHTZ,21.1,27,24.5,23.5,19.8,22.3,0,160.7,0,0,0,0,0,0,0,0,21.1,27,24.5,23.5,19.8,22.3,0,160.7
8,Liverpool,AdriÃ¡n,21/09/2022 09:26,,LHTZ,5.8,9.9,20.4,32.6,39.3,44.7,0,48,0,0,0,0,0,0,0,0,5.8,9.9,20.4,32.6,39.3,44.7,0,48
9,Liverpool,AdriÃ¡n,21/09/2022 11:02,1,LHTZ,2.7,6.6,12.9,17.4,20.1,21.7,0,23.4,4.7,8.6,14.9,19.4,22.1,23.7,0,25.4,7.4,15.2,27.8,36.8,42.2,45.4,0,48.8
10,Liverpool,AdriÃ¡n,21/09/2022 11:30,1,LHTZ,2,8.9,10.7,13.2,13,13,0,14.4,0,0,0,0,0,0,0,0,2,8.9,10.7,13.2,13,13,0,14.4
11,Liverpool,AdriÃ¡n,21/09/2022 11:30,1,LHTZ,3.3,8.7,10.9,15.3,16.3,15.5,0,17.2,0,0,0,0,0,0,0,0,3.3,8.7,10.9,15.3,16.3,15.5,0,17.2
12,Liverpool,AdriÃ¡n,21/09/2022 13:12,1,LHTZ,4.5,13.9,28.7,37.1,41.8,42.1,0,48.9,4.8,8.8,23.9,37.6,47.2,53,0,61.6,9.3,22.7,52.6,74.7,89,95.1,0,110.5
13,Liverpool,AdriÃ¡n,21/09/2022 13:12,1,RHTZ,4.9,8.1,22,30.2,38.6,47.6,0,60.4,5,9.2,8.3,5.8,4.4,3,0,35.7,9.9,17.3,30.3,36,43,50.6,0,96.1
14,Liverpool,AdriÃ¡n,21/09/2022 13:19,1,LHTZ,3.3,8.5,25,37.6,46.2,48.2,0,49,6,8.9,33.6,43.1,52,58.9,0,59.1,9.3,17.4,58.6,80.7,98.2,107.1,0,108.1
15,Liverpool,AdriÃ¡n,21/09/2022 13:19,1,RHTZ,5.6,6,19.7,26.9,33.8,36.4,0,42.3,6.9,4.3,9.7,29.7,31.6,31.5,0,33.4,12.5,10.3,29.4,56.6,65.4,67.9,0,75.7
16,Liverpool,AdriÃ¡n,21/09/2022 13:19,1,LHTZ,0.8,4,8.5,17.6,27,33.3,0,40.2,6.3,16.6,30.7,42,44.5,45.8,0,48.5,7.1,20.6,39.2,59.6,71.5,79.1,0,88.7
17,Liverpool,AdriÃ¡n,21/09/2022 13:19,1,RHTZ,5.5,8,24.4,30.9,38.9,39,0,42.2,5,14.2,24.1,27.3,30.3,32.3,0,33.3,10.5,22.2,48.5,58.2,69.2,71.3,0,75.5
18,Liverpool,AdriÃ¡n,21/09/2022 13:24,1,LHTZ,10.4,18.9,27.5,31.8,36.9,33,0,36.9,0,0,0,0,0,0,0,0,10.4,18.9,27.5,31.8,36.9,33,0,36.9
19,Liverpool,AdriÃ¡n,21/09/2022 13:25,1,LHTZ,1.2,6.7,16.2,22.2,26.4,26.2,0,29.1,0,0,0,0,0,0,0,0,1.2,6.7,16.2,22.2,26.4,26.2,0,29.1
20,Liverpool,AdriÃ¡n,22/09/2022 09:24,,RHTZ,1.3,16.5,35.8,52.2,60.3,64.4,0,65.7,0,0,0,0,0,0,0,0,1.3,16.5,35.8,52.2,60.3,64.4,0,65.7
21,Liverpool,AdriÃ¡n,22/09/2022 09:29,,LHTZ,3.2,29.7,42.3,47.7,52.2,60.6,0,66.2,0,0,0,0,0,0,0,0,3.2,29.7,42.3,47.7,52.2,60.6,0,66.2
22,Liverpool,AdriÃ¡n,22/09/2022 09:29,,RHTZ,10.5,30,45.9,47.6,51.8,53.8,0,59.3,9.6,21,34.8,46.5,45.3,46.1,0,51.7,20.1,51,80.7,94.1,97.1,99.9,0,111
23,Liverpool,AdriÃ¡n,22/09/2022 09:34,,LHTZ,2.6,26.1,35.9,45.3,53.7,57.7,0,65.5,0,0,0,0,0,0,0,0,2.6,26.1,35.9,45.3,53.7,57.7,0,65.5
24,Liverpool,AdriÃ¡n,22/09/2022 09:37,,RHTZ,0,0,0,0,0,0,0,0,2.2,7.5,37.3,49.2,56.6,55.8,0,59.5,2.2,7.5,37.3,49.2,56.6,55.8,0,59.5
25,Liverpool,AdriÃ¡n,22/09/2022 09:42,,LHTZ,0,0,0,0,0,0,0,0,4,14.4,31.7,51.6,55.9,59.9,0,62.2,4,14.4,31.7,51.6,55.9,59.9,0,62.2
26,Liverpool,AdriÃ¡n,22/09/2022 10:50,,LHTZ,5.2,18,36.3,51.8,54.9,58.9,0,70.6,0,0,0,0,0,0,0,0,5.2,18,36.3,51.8,54.9,58.9,0,70.6
27,Liverpool,AdriÃ¡n,22/09/2022 10:52,,LHTZ,4.5,5.5,4.7,7.1,4.1,4,0,74.2,0,0,0,0,0,0,0,0,4.5,5.5,4.7,7.1,4.1,4,0,74.2
28,Liverpool,AdriÃ¡n,22/09/2022 11:35,1,LHTZ,6.9,37.4,44.8,57.2,60.3,61.8,0,66.5,3,50.4,68.9,69.7,77.8,79.7,0,90,9.9,87.8,113.7,126.9,138.1,141.5,0,156.5
29,Liverpool,AdriÃ¡n,22/09/2022 11:35,1,RHTZ,29.9,55.6,71.8,77.3,78.6,87.3,0,91.3,3.8,16.1,6.8,6.8,40.2,7.7,0,68.5,33.7,71.7,78.6,84.1,118.8,95,0,159.8
30,Liverpool,AdriÃ¡n,26/09/2022 07:13,1,LHTZ,4.2,9.4,16.2,25.7,31.5,36,0,40,0,0,0,0,0,0,0,0,4.2,9.4,16.2,25.7,31.5,36,0,40
31,Liverpool,AdriÃ¡n,26/09/2022 08:54,,RHTZ,18.1,22.2,27.2,32,35.5,41.1,0,74.5,10.1,15.9,20.3,22.5,25.7,27.9,0,47.3,28.2,38.1,47.5,54.5,61.2,69,0,121.8
32,Liverpool,AdriÃ¡n,27/09/2022 07:23,,LHTZ,0,0,0,0,0,0,0,0,7.3,9,9.8,4.4,37.1,41.4,0,58.3,7.3,9,9.8,4.4,37.1,41.4,0,58.3
33,Liverpool,AdriÃ¡n,27/09/2022 07:34,,LHTZ,0,0,0,0,0,0,0,0,4.2,7.2,23.1,30.6,37.8,46.4,0,52.7,4.2,7.2,23.1,30.6,37.8,46.4,0,52.7
34,Liverpool,AdriÃ¡n,27/09/2022 07:46,,LHTZ,0,0,0,0,0,0,0,0,4.1,8.8,28.1,32.9,37.3,42.2,0,43.1,4.1,8.8,28.1,32.9,37.3,42.2,0,43.1
35,Liverpool,AdriÃ¡n,27/09/2022 07:47,,LHTZ,0,0,0,0,0,0,0,0,6.1,9.3,7.7,5.9,57.1,54,0,58.6,6.1,9.3,7.7,5.9,57.1,54,0,58.6
36,Liverpool,AdriÃ¡n,27/09/2022 08:02,1,LHTZ,0,0,0,0,0,0,0,0,8.4,9.9,35.9,53.9,56.2,51.8,0,59.8,8.4,9.9,35.9,53.9,56.2,51.8,0,59.8
37,Liverpool,AdriÃ¡n,27/09/2022 08:05,1,LHTZ,0,0,0,0,0,0,0,0,1,7.3,30.6,52.1,46.9,63.9,0,76.2,1,7.3,30.6,52.1,46.9,63.9,0,76.2
38,Liverpool,AdriÃ¡n,28/09/2022 08:21,,RHTZ,0,0,0,0,0,0,0,0,8.1,7.8,9.5,35.2,38.7,38.8,0,40.6,8.1,7.8,9.5,35.2,38.7,38.8,0,40.6
39,Liverpool,Alex Oxlade-Chamberlain,20/04/2022 11:10,protocol1,LHTZ,2.2,7.4,11.6,13.9,15.7,0,0,16.3,0,0,0,0,0,0,0,0,2.2,7.4,11.6,13.9,15.7,0,0,16.3
40,Liverpool,Alex Oxlade-Chamberlain,20/04/2022 11:14,protocol1,LHTZ,2.5,6.7,11.1,14.8,16.5,0,0,17.2,0,0,0,0,0,0,0,0,2.5,6.7,11.1,14.8,16.5,0,0,17.2
41,Liverpool,Alex Oxlade-Chamberlain,20/04/2022 15:02,protocol1,LHTZ,2,7.9,11.5,13.6,14.6,0,0,14.8,0,0,0,0,0,0,0,0,2,7.9,11.5,13.6,14.6,0,0,14.8
42,Liverpool,Alex Oxlade-Chamberlain,25/04/2022 08:46,protocol1,LHTZ,1.5,6.5,10,11.8,13.2,14.3,0,14.8,0,0,0,0,0,0,0,0,1.5,6.5,10,11.8,13.2,14.3,0,14.8
43,Liverpool,Alex Oxlade-Chamberlain,23/05/2022 10:21,MyProtocol,LHTZ,2.6,8.4,12.9,15.3,16.5,0,0,16.7,0,0,0,0,0,0,0,0,2.6,8.4,12.9,15.3,16.5,0,0,16.7
44,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:20,easy,LHTZ,3.1,8.8,13.2,15.5,17,17.9,0,18,0,0,0,0,0,0,0,0,3.1,8.8,13.2,15.5,17,17.9,0,18
45,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:50,easy,LHTZ,1.8,7.2,12.3,15.5,17.2,18.1,0,18.3,3.8,9.2,14.3,17.5,19.2,20.1,0,20.3,5.6,16.4,26.6,33,36.4,38.2,0,38.6
46,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:50,easy,RHTZ,3.8,9,13.6,16.3,18.2,19.7,20.6,21.1,2.8,8,12.6,15.3,17.2,18.7,19.6,20.1,6.6,17,26.2,31.6,35.4,38.4,40.2,41.2
47,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:50,easy,LHTZ,2.9,8.5,12.5,15.3,16.5,0,0,16.9,4.9,10.5,14.5,17.3,18.5,0,0,18.9,7.8,19,27,32.6,35,0,0,35.8
48,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:50,easy,RHTZ,3.4,9,14.2,17.2,18.7,19.4,0,19.4,2.4,8,13.2,16.2,17.7,18.4,0,18.4,5.8,17,27.4,33.4,36.4,37.8,0,37.8
49,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:50,easy,LHTZ,0.9,7.3,14,16.4,17.1,0,0,17.1,2.9,9.3,16,18.4,19.1,0,0,19.1,3.8,16.6,30,34.8,36.2,0,0,36.2
50,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:50,easy,RHTZ,3.5,9.1,13.8,16.3,17.9,18.8,0,19.4,2.5,8.1,12.8,15.3,16.9,17.8,0,18.4,6,17.2,26.6,31.6,34.8,36.6,0,37.8
51,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:55,easy,LHTZ,0.9,6.7,11.1,14.1,15.7,16.7,17,17,2.9,8.7,13.1,16.1,17.7,18.7,19,19,3.8,15.4,24.2,30.2,33.4,35.4,36,36
52,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 12:57,easy,LHTZ,2,7.6,11.1,0,0,0,0,11.6,4,9.6,13.1,0,0,0,0,13.6,6,17.2,24.2,0,0,0,0,25.2
53,Liverpool,Alex Oxlade-Chamberlain,09/06/2022 13:01,easy,LHTZ,2.1,7.8,12.4,14.6,15.6,16.4,0,16.4,4.1,9.8,14.4,16.6,17.6,18.4,0,18.4,6.2,17.6,26.8,31.2,33.2,34.8,0,34.8
54,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 10:53,easy,LHTZ,3.4,7.5,10.8,13.2,14.8,15.9,16.6,19.5,0,0,0,0,0,0,0,0,3.4,7.5,10.8,13.2,14.8,15.9,16.6,19.5
55,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 10:57,easy,LHTZ,3.1,7.3,10.7,13.1,14.3,15.5,16.2,17.6,5.1,9.3,12.7,15.1,16.3,17.5,18.2,19.6,8.2,16.6,23.4,28.2,30.6,33,34.4,37.2
56,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 10:57,easy,RHTZ,4.8,9.6,13.5,16.3,17.8,18.7,19.3,19.4,3.8,8.6,12.5,15.3,16.8,17.7,18.3,18.4,8.6,18.2,26,31.6,34.6,36.4,37.6,37.8
57,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 10:57,easy,RHTZ,0.1,2,2,2,2,2,2,21.6,5.2,10.4,14.4,16.6,18.2,19.2,20.2,20.6,5.3,12.4,16.4,18.6,20.2,21.2,22.2,42.2
58,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 10:57,easy,LHTZ,2.5,7.6,12.5,14.8,16.7,17.7,18.6,19,4.5,9.6,14.5,16.8,18.7,19.7,20.6,21,7,17.2,27,31.6,35.4,37.4,39.2,40
59,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 10:57,easy,LHTZ,2.8,10.6,22.6,32,37.1,39.1,39.6,41.4,4.8,12.6,24.6,34,39.1,41.1,41.6,43.4,7.6,23.2,47.2,66,76.2,80.2,81.2,84.8
60,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 10:57,easy,RHTZ,6.1,13.6,24.9,29.9,32.4,35.7,37,38.9,5.1,12.6,23.9,28.9,31.4,34.7,36,37.9,11.2,26.2,48.8,58.8,63.8,70.4,73,76.8
61,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 11:26,easy,LHTZ,4.1,7.8,10.6,12.4,13.7,14.5,0,14.9,0,0,0,0,0,0,0,0,4.1,7.8,10.6,12.4,13.7,14.5,0,14.9
62,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 11:35,easy,LHTZ,3.5,7.5,10.7,12.8,14.4,15.3,15.9,16.8,0,0,0,0,0,0,0,0,3.5,7.5,10.7,12.8,14.4,15.3,15.9,16.8
63,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 11:36,easy,LHTZ,4.9,9.1,11.8,13.7,14.4,15.1,15.9,17.2,6.9,11.1,13.8,15.7,16.4,17.1,17.9,19.2,11.8,20.2,25.6,29.4,30.8,32.2,33.8,36.4
64,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 11:36,easy,RHTZ,6.5,9.8,12.2,14,15,16.2,16.7,16.8,5.5,8.8,11.2,13,14,15.2,15.7,15.8,12,18.6,23.4,27,29,31.4,32.4,32.6
65,Liverpool,Alex Oxlade-Chamberlain,14/06/2022 11:36,easy,LHTZ,3.1,8.4,11.8,14.1,15.5,16.9,0,18.4,5.1,10.4,13.8,16.1,17.5,18.9,0,20.4,8.2,18.8,25.6,30.2,33,35.8,0,38.8
